,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
65,Girish Karnad, Profession Poet Screenwriter Actor Writer Film Director Playwright ,N\A, Age 80 , Nominated For Filmfare Award for Best Supporting Actor ,N\A, Children Shalmali Radha Karnad Raghu Amay Karnad ,https://imgix.ranker.com/node_img/54/1073674/original/girish-karnad-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Girish_Karnad
66,Rani Mukerji, Profession Model Actor Dancer , Height 1.6 , Age 40 , Nominated For Filmfare Award for Best Actress , Parents Krishna Mukherjee Ram Mukherjee ,N\A,https://imgix.ranker.com/user_node_img/94/1873711/original/rani-mukerji-u14?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rani_Mukerji
67,Bharat Bhushan, Profession Actor ,N\A, Age Died at 72 (1920-1992) , Nominated For Filmfare Award for Best Actor , Parents Raibahadur Motilal , Children Anuradha Bhushan Aparijitha Bhushan ,https://imgix.ranker.com/user_node_img/29/578220/original/bharat-bhushan-actors-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bharat_Bhushan
68,Sanjeev Kumar, Profession Actor ,N\A, Age Dec. at 47 (1938-1985) , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor ,N\A,N\A,https://imgix.ranker.com/node_img/99/1973029/original/sanjeev-kumar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sanjeev_Kumar
69,Jeetendra, Profession Television producer Film Producer Actor , Height 1.83 , Age 76 ,N\A, Parents Amarnath Kapoor Krishna Kapoor , Children Ekta Kapoor Tusshar Kapoor ,https://imgix.ranker.com/node_img/64/1278356/original/jeetendra-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jeetendra
70,Nedumudi Venu, Profession Screenwriter Actor Writer ,N\A, Age 70 , Nominated For Filmfare Award for Best Supporting Actor – Malayalam Asianet Film Award for Best Supporting Actor , Parents P. Kunjikkuttiyamma P. K. Kesavan Pillai , Children Kannan Gopal Unni Gopal ,https://imgix.ranker.com/node_img/83/1657831/original/nedumudi-venu-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nedumudi_Venu
71,Rajkumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
72,Govinda, Profession Television presenter Politician Comedian Actor Presenter , Height 1.73 , Age 55 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor , Parents Nirmala Devi Arun Ahuja , Children Yashvardan Ahuja Narmada Ahuja ,https://imgix.ranker.com/node_img/55/1091181/original/govinda-politicians-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Govinda_(actor)
73,Tiku Talsania, Profession Actor ,N\A, Age 64 ,N\A,N\A, Children Shikha Talsania ,https://imgix.ranker.com/user_node_img/2491/49809511/original/tiku-talsania-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Tiku_Talsania
74,Bindu, Profession Actor , Height 1.68 , Age 64 , Nominated For Filmfare Award for Best Supporting Actress , Parents Jyotsna Desai Nanubhai Desai ,N\A,https://imgix.ranker.com/user_node_img/30/586887/original/bindu-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bindu_(actress)
75,Danny Denzongpa, Profession Sculptor Painter Entrepreneur Actor Singer Writer ,N\A, Age 71 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Supporting Actor ,N\A, Children Pema Denzongpa Rinzing Denzongpa ,https://imgix.ranker.com/node_img/41/812031/original/danny-denzongpa-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Danny_Denzongpa
76,Vinod Khanna, Profession Politician Film Producer Actor , Height 1.85 , Age 72 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Kishanchand Khanna Kamla Khanna , Children Sakshi Khanna Akshaye Khanna Rahul Khanna Shraddha Khanna ,https://imgix.ranker.com/user_node_img/118/2341315/original/vinod-khanna-politicians-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vinod_Khanna
77,Priyanka Chopra, Profession Model Actor Singer ," Height 5'6"" ", Age 36 , Nominated For World Music Awards for World’s Best Song Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actress , Parents Madhu Chopra Ashok Chopra ,N\A,https://imgix.ranker.com/user_node_img/8/142587/original/priyanka-chopra-photo-u85?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Priyanka_Chopra
78,Saif Ali Khan, Profession Musician Film Producer Actor , Height 1.75 , Age 48 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Mansoor Ali Khan Pataudi Sharmila Tagore , Children Ibrahim Ali Khan Sara Ali Khan ,https://imgix.ranker.com/node_img/98/1959824/original/saif-ali-khan-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Saif_Ali_Khan
79,Nirupa Roy, Profession Actor , Height 1.6 , Age Dec. at 73 (1931-2004) , Nominated For Filmfare Award for Best Supporting Actress ,N\A, Children Yogesh Roy Kiran Roy ,https://imgix.ranker.com/node_img/85/1683391/original/nirupa-roy-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nirupa_Roy
80,Lalita Pawar, Profession Character actor Actor ,N\A, Age Dec. at 82 (1916-1998) , Nominated For Filmfare Award for Best Supporting Actress , Parents Laxman Rao Shagun ,N\A,https://imgix.ranker.com/user_node_img/71/1408014/original/lalita-pawar-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Lalita_Pawar
81,Aamir Khan, Profession Television producer Film Producer Screenwriter Actor Film Director , Height 1.68 , Age 53 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Director Filmfare Award for Best Supporting Actor , Parents Tahir Hussain Zeenat Hussain , Children Azad Rao Khan Junaid Khan Ira Khan ,https://imgix.ranker.com/node_img/20/387122/original/aamir-khan-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Aamir_Khan
82,Sayaji Shinde, Profession Film Producer Actor ,N\A,N\A, Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Supporting Actor ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Sayaji_Shinde
83,Sharmila Tagore, Profession Model Actor , Height 1.57 , Age 74 , Nominated For Filmfare Award for Best Actress , Parents Gitindranath Tagore , Children Saba Ali Khan Soha Ali Khan Saif Ali Khan ,https://imgix.ranker.com/node_img/101/2014020/original/sharmila-tagore-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sharmila_Tagore
84,Mehmood, Profession Film Producer Actor Singer Film Director ,N\A, Age Dec. at 72 (1932-2004) , Nominated For Filmfare Award for Best Supporting Actor , Parents Latifunnisa Ali Mumtaz Ali , Children Masoom Ali Mansoor Ali Masood Ali Ginny Ali Lucky Ali Maqdoom Ali Manzoor Ali ,https://imgix.ranker.com/node_img/78/1558883/original/mehmood-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mehmood_(actor)
85,Yunus Parvez, Profession Actor ,N\A, Age Dec. at 76 (1931-2007) ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/122/2434290/original/yunus-parvez-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Yunus_Parvez
86,Suresh Oberoi, Profession Actor Singer Writer Presenter , Height 1.73 , Age 72 , Nominated For Filmfare Award for Best Supporting Actor , Parents Anand Sarup Oberoi Kartar Devi , Children Vivek Oberoi Meghna Oberoi ,https://imgix.ranker.com/node_img/9/168688/original/suresh-oberoi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Suresh_Oberoi
87,Reena Roy, Profession Actor , Height 1.63 , Age 62 , Nominated For Filmfare Award for Best Actress ,N\A, Children Sanam Khan ,https://imgix.ranker.com/user_node_img/95/1886387/original/reena-roy-people-in-film-photo-u4?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Reena_Roy
88,Leela Mishra, Profession Actor ,N\A, Age Dec. at 80 (1908-1988) ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/1195/23893706/original/leela-mishra-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Leela_Mishra
89,Jankidas Mehra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
90,A.K. Hangal, Profession Actor Tailor ,N\A, Age Dec. at 98 (1914-2012) ,N\A, Parents Pandit Hari Kishan Hangal , Children Vijay Hangal ,https://imgix.ranker.com/node_img/27/523911/original/a-k-hangal-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/A._K._Hangal
91,Sudeep, Profession Screenwriter Actor Playback singer Singer Film Director , Height 1.88 , Age 45 , Nominated For Filmfare Award for Best Actor – Kannada , Parents M Sanjeev Saroja , Children Saanvi ,https://imgix.ranker.com/node_img/106/2117606/original/sudeep-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sudeep
92,Saeed Jaffrey, Profession Businessperson Actor ,N\A, Age 90 , Nominated For Filmfare Award for Best Performance in a Negative Role Academy of Canadian Cinema and Television Award for Best Performance by an Actor in a Leading Role BAFTA Award for Best Actor in a Supporting Role Filmfare Award for Best Supporting Actor ,N\A, Children Meera Jaffrey Sakina Jaffrey Zia Jaffrey ,https://imgix.ranker.com/user_node_img/98/1958523/original/saeed-jaffrey-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Saeed_Jaffrey
93,Madhuri Dixit, Profession Actor , Height 1.63 , Age 51 , Nominated For Filmfare Award for Best Actress , Parents Snehlata Dixit Shankar Dixit , Children Raayan Nene Arin Nene ,https://imgix.ranker.com/node_img/8/142251/original/madhuri-dixit-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Madhuri_Dixit
94,Prithviraj Sukumaran, Profession Film Producer Actor Playback singer , Height 1.81 , Age 36 , Nominated For Filmfare Award for Best Supporting Actor – Tamil Filmfare Award for Best Actor – Malayalam , Parents Mallika Sukumaran Sukumaran ,N\A,https://imgix.ranker.com/node_img/92/1839230/original/prithviraj-sukumaran-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prithviraj_Sukumaran
95,Om Shivpuri, Profession Theatre Director Actor ,N\A, Age Dec. at 52 (1938-1990) ,N\A,N\A, Children Vineet Shivpuri Ritu Shivpuri ,https://imgix.ranker.com/user_node_img/87/1720375/original/om-shivpuri-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Om_Shivpuri
96,Kareena Kapoor, Profession Author Actor , Height 1.63 , Age 38 , Nominated For Filmfare Award for Best Actress , Parents Babita Randhir Kapoor ,N\A,https://imgix.ranker.com/user_node_img/8/142257/original/kareena-kapoor-photo-u30?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kareena_Kapoor
97,Raj Kapoor, Profession Film Producer Film Editor Actor Film Director ,N\A, Age Dec. at 64 (1924-1988) , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Director Filmfare Award for Best Supporting Actor , Parents Prithviraj Kapoor Ramsarni Mehra Kapoor , Children Ritu Nanda Reema Kapoor Rishi Kapoor Rajiv Kapoor Randhir Kapoor ,https://imgix.ranker.com/node_img/94/1868894/original/raj-kapoor-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Raj_Kapoor
98,Shammi Kapoor, Profession Actor Film Director , Height 1.85 , Age Dec. at 80 (1931-2011) , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Prithviraj Kapoor Ramsarni Mehra Kapoor , Children Kanchan Kapoor Aditya Raj Kapoor ,https://imgix.ranker.com/node_img/101/2012002/original/shammi-kapoor-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shammi_Kapoor
99,Sushmita Sen, Profession Model Actor , Height 1.79 , Age 43 , Nominated For Zee Cine Award for Best Actress in a Supporting Role Filmfare Award for Best Supporting Actress , Parents Shubeer Sen Subhra Sen ,N\A,https://imgix.ranker.com/user_node_img/107/2128344/original/sushmita-sen-people-in-tv-photo-u10?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sushmita_Sen
100,Sujit Kumar, Profession Film Producer Actor ,N\A, Age Dec. at 76 (1934-2010) ,N\A,N\A, Children Jatin Kumar Heena Kumar ,https://imgix.ranker.com/user_node_img/106/2119045/original/sujit-kumar-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sujit_Kumar
101,Upendra, Profession Film Producer Screenwriter Actor Playback singer Film Director , Height 1.75 , Age 50 , Nominated For Filmfare Award for Best Director – Kannada Filmfare Award for Best Actor – Kannada Filmfare Award for Best Male Playback Singer – Kannada , Parents Anasuya Manjunath Rao , Children Aishwarya Ayush ,https://imgix.ranker.com/node_img/116/2310317/original/upendra-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Upendra
102,Agha, Profession Film Producer Actor ,N\A, Age Died at 78 (1914-1992) , Nominated For Filmfare Award for Best Supporting Actor ,N\A, Children Jalal Agha Agha Ahmed ,N\A,https://en.wikipedia.org/wiki/Agha_(actor)
103,Rakesh Bedi, Profession Actor TV Personality ,N\A, Age 63 , Nominated For Filmfare Award for Best Performance in a Comic Role Apsara Award for Best Actor in a Comic Role Indian Telly Award for Best Actor in a Comic Role ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Rakesh_Bedi
104,Sunil, Profession Comedian Actor Voice acting ,N\A, Age 44 , Nominated For Filmfare Award for Best Supporting Actor – Telugu ,N\A, Children Dhushyanth Kundana ,https://imgix.ranker.com/node_img/1691/33804716/original/sunil-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sunil_(actor)
105,Bipasha Basu, Profession Model Actor , Height 1.74 , Age 36 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actress ,N\A,N\A,https://imgix.ranker.com/user_node_img/30/587990/original/bipasha-basu-photo-u20?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bipasha_Basu
106,Achala Sachdev, Profession Actor ,N\A, Age Dec. at 92 (1920-2012) ,N\A,N\A, Children Jyotin ,N\A,https://en.wikipedia.org/wiki/Achala_Sachdev
107,Jagdish Raj, Profession Actor ,N\A, Age Dec. at 85 (1928-2013) ,N\A,N\A, Children Anita Raj ,N\A,https://en.wikipedia.org/wiki/Jagdish_Raj
108,Shankar Nag, Profession Film Producer Screenwriter Actor Film Director ," Height 5'6"" ", Age Dec. at 36 (1954-1990) ,N\A, Parents Anandi Nagarkatte Sadanand Nagarkatte , Children Kavya Nag ,https://imgix.ranker.com/node_img/101/2012925/original/shankar-nag-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shankar_Nag
109,Om Prakash, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age Dec. at 79 (1919-1998) , Nominated For Filmfare Award for Best Supporting Actor ,N\A,N\A,https://imgix.ranker.com/user_node_img/87/1720365/original/om-prakash-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Om_Prakash
110,Kiran Kumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
111,Raza Murad, Profession Actor ,N\A, Age 68 , Nominated For Filmfare Award for Best Performance in a Negative Role , Parents Murad , Children Ali Murad Ayesha Murad ,https://imgix.ranker.com/node_img/477/9536434/original/raza-murad-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Raza_Murad
112,Alok Nath, Profession Actor ,N\A, Age 59 , Nominated For Indian Telly Jury Award for Best Actor in a Supporting Role Indian Telly Award for Best Actor in a Supporting Role Apsara Award for Best Actor in a Drama Series ,N\A,N\A,https://imgix.ranker.com/node_img/22/439695/original/alok-nath-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Alok_Nath
113,Vivek, Profession Actor ,N\A, Age 57 , Nominated For Filmfare Award for Best Supporting Actor – Tamil Vijay Award for Best Comedian ,N\A,N\A,https://imgix.ranker.com/node_img/118/2345840/original/vivek-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vivek_(actor)
114,Shreeram Lagoo, Profession Actor ,N\A, Age 91 , Nominated For Filmfare Award for Best Supporting Actor , Parents Balakrishna Chintaman Satyabhama Lagoo ,N\A,N\A,https://en.wikipedia.org/wiki/Shriram_Lagoo
115,Anant Nag, Profession Politician Actor , Height 1.8 , Age 67 , Nominated For Filmfare Award for Best Supporting Actor – Kannada , Parents Anandi Nagarkatte Sadanand Nagarkatte ,N\A,https://imgix.ranker.com/user_node_img/23/454532/original/anant-nag-politicians-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anant_Nag
116,Tinnu Anand, Profession Screenwriter Actor Writer Film Director ,N\A,N\A,N\A, Parents Inder Raj Anand ,N\A,https://imgix.ranker.com/node_img/113/2249250/original/tinnu-anand-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Tinnu_Anand
117,Amjad Khan, Profession Actor Film Director ,N\A, Age Died at 52 (1940-1992) , Nominated For Filmfare Award for Best Supporting Actor , Parents Jayant , Children Ahlam Khan Seemaab Khan Shadaab Khan ,https://imgix.ranker.com/node_img/23/450893/original/amjad-khan-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Amjad_Khan
118,Moushumi Chatterjee, Profession Politician Actor ,N\A, Age 70 , Nominated For Academy of Canadian Cinema and Television Award for Best Performance by an Actress in a Supporting Role Filmfare Award for Best Actress , Parents Prantosh Chattopadhyaya , Children Payal Mukherjee Megha Mukherjee ,https://imgix.ranker.com/user_node_img/82/1622580/original/moushumi-chatterjee-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Moushumi_Chatterjee
119,Rajyalakshmi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
120,Deven Verma, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 81 , Nominated For Filmfare Award for Best Performance in a Comic Role ,N\A,N\A,https://imgix.ranker.com/user_node_img/43/849005/original/deven-verma-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Deven_Verma
121,Dev Anand, Profession Film Producer Screenwriter Actor Film Director , Height 1.7 , Age Dec. at 88 (1923-2011) , Nominated For Filmfare Award for Best Actor , Parents Pishori Lal Anand , Children Devina Anand Suneil Anand ,https://imgix.ranker.com/user_node_img/43/849710/original/dev-anand-people-in-film-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dev_Anand
122,Mika Singh, Profession Film Score Composer Singer ,N\A, Age 41 , Nominated For IIFA Award for Best Music Director Zee Cine Award for Best Playback Singer – Male IIFA Award for Best Male Playback ,N\A,N\A,https://imgix.ranker.com/node_img/80/1584306/original/mika-mehndi-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mika_Singh
123,Jeevan, Profession Actor ,N\A, Age 43 , Nominated For Filmfare Award for Best Villain – Tamil ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Jeevan
124,Himani Shivpuri,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
125,Raghu Babu, Profession Comedian Actor ,N\A, Age 54 ,N\A, Parents Giri Babu ,N\A,N\A,https://en.wikipedia.org/wiki/Raghu_Babu
126,Tanuja, Profession Actor , Height 1.52 , Age 75 , Nominated For Filmfare Award for Best Supporting Actress , Parents Kumarsen Samarth Shobhna Samarth , Children Tanisha Kajol ,https://imgix.ranker.com/node_img/108/2148733/original/tanuja-samarth-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Tanuja
