,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
55,Dalip Tahil, Profession Actor ,N\A, Age 63 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/41/805966/original/dalip-tahil-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dalip_Tahil
56,Mukri, Profession Actor ,N\A, Age Dec. at 78 (1922-2000) , Nominated For Filmfare Award for Best Performance in a Comic Role ,N\A, Children Nasir Mukri Naseem Mukri Bilal Mukri Amina Mukri Faruk Mukri ,https://imgix.ranker.com/node_img/82/1628355/original/mukri-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Mukri
57,Rishi Kapoor, Profession Musician Film Producer Actor Film Director , Height 1.7 , Age 66 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Krishna Kapoor Raj Kapoor , Children Riddhima Kapoor Sahani Ranbir Kapoor ,https://imgix.ranker.com/node_img/96/1912802/original/rishi-kapoor-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rishi_Kapoor
58,Anil Kapoor, Profession Film Producer Actor , Height 1.8 , Age 62 , Nominated For Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Nirmal Kapoor Surinder Kapoor , Children Harshvardhan Kapoor Sonam Kapoor Rhea Kapoor ,https://imgix.ranker.com/node_img/24/465789/original/-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anil_Kapoor
59,Jagdeep, Profession Actor ,N\A, Age 79 , Nominated For Filmfare Award for Best Performance in a Comic Role ,N\A, Children Suraiya Jaffry Hussein Jaffry Naved Jaffery Jaaved Jaffrey Shakira Shafi ,https://imgix.ranker.com/user_node_img/63/1256470/original/jagdeep-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jagdeep
60,M. S. Narayana,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
61,Vishnuvardhan, Profession Screenwriter Actor Writer Film Director ,N\A,N\A, Nominated For Vijay Award for Favourite Director , Parents Kulasekaran ,N\A,https://imgix.ranker.com/user_node_img/357/7125494/original/vishnuvardhan-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vishnuvardhan_(director)
62,Venu Madhav,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
63,Srinivasa Rao Kota, Profession Actor Singer ,N\A, Age 71 , Nominated For Filmfare Award for Best Villain – Tamil , Parents Kota Seetha Rama Anjaneyulu , Children Pallavi Srinivasa Rao Pavani Srinivasa Rao Kota Venkata Anjaneya Prasad ,https://imgix.ranker.com/node_img/70/1391170/original/srinivasa-rao-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kota_Srinivasa_Rao
64,Satish Shah, Profession Comedian Actor ,N\A, Age 67 , Nominated For Filmfare Award for Best Performance in a Comic Role Indian Telly Award for Best Actor in a Comic Role ,N\A,N\A,https://imgix.ranker.com/node_img/100/1981123/original/satish-shah-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Satish_Shah
